Battle of Talas,751.0,NaN,NaN,Woodblock printing,Tang dynasty
Battle of Al-Shaykh Maskin (2014),2014.0,NaN,NaN,Free Syrian Army,Syrian Arab Republic
Battle of Carabobo,1821.0,NaN,NaN,Antonio Nariño,Spain
Battle of Bussaco,1810.0,40°20′N,8°20′W,Portugal,France
Battle of Pavia,1525.0,45°11′51″N,9°09′54″E,Kingdom of France,Empire of Charles V
First Battle of Fallujah,2004.0,NaN,NaN,United States,Al-Qaeda in Iraq
Battle of Fuentes de Oñoro,1811.0,40°35′N,6°49′W,United Kingdom,French Empire
Battle of Baiji (2014–2015),2015.0,NaN,NaN,Airstrikes,Islamic State of Iraq and the Levant
Battle of Falkirk,1298.0,55°59′15″N,3°45′36″W,Kingdom of Scotland,Kingdom of England
Battle of Tell Abyad (2013),2013.0,NaN,NaN,Russian-Turkish agreement on Syria,Islamic State of Iraq and the Levant
Battle of Hamburger Hill,1969.0,16°15′11″N,107°10′29″E,United States,North Vietnam
Battle of Sarrin (March–April 2015),2015.0,36°35′15″N,38°17′59″E,CJTF–OIR,Islamic State of Iraq and the Levant
Battle of Keresztes,1596.0,NaN,NaN,Ottoman Empire,Holy Roman Empire
Battle of Markada,2014.0,NaN,NaN,al Nusra Front,Katiba al-Bittar al-Libi
Battle of Fort Pillow,1864.0,NaN,NaN,United States,Confederate States
Battle of Arcole,1796.0,45°21′26″N,11°16′39″E,French Republic,Habsburg monarchy
Battle of Bataan,1942.0,NaN,NaN,United States,Empire of Japan
Battle of Kruševac,1454.0,NaN,NaN,Serbian Despotate,Ottoman Empire
Battle of Legnica,1241.0,51°8′43″N,16°13′22″E,Golden Horde,Poland
Battle of Nish (1443),1443.0,NaN,NaN,Pakrac clash,Ottoman Empire
Battle on Vrtijeljka,1685.0,42°22′N,18°56′E,Pakrac clash,
Battle of Tell Abyad (2016),2016.0,NaN,NaN,Syrian Democratic Forces,Islamic State of Iraq and the Levant
Battle of Jerusalem,1917.0,31°46′35″N,35°13′39″E,Capture of Baghdad,Ottoman Empire
Battle of Copenhagen (1807),1807.0,55°40′46″N,12°34′22″E,United Kingdom,Denmark–Norway
Battle of Rastan (January–February 2012),2012.0,NaN,NaN,Russian-Turkish agreement on Syria,Syrian Arab Republic
Second Battle of the Somme,1918.0,NaN,NaN,United States,Germany
Second Battle of Panipat,1556.0,29°23′41″N,76°55′34″E,Art,Hemu
Battle of Lugos,1695.0,NaN,NaN,Pakrac clash,Ottoman Empire
Battle of Sarrin (June–July 2015),2015.0,36°35′15″N,38°17′59″E,CJTF–OIR,Islamic State of Iraq and the Levant
Battle of the Saintes,1782.0,15°47′N,61°36′W,HMS ,Third rate
Battle of Kreminna,2022.0,49°3′N,38°13′E,Emergency special session,Ukraine
Battle of Quatre Bras,1815.0,50°34′17″N,4°27′12″E,France,
Battle of Ain Jalut,1260.0,NaN,NaN,Mamluk Sultanate,Ilkhanate
Battle of Douma,2012.0,NaN,NaN,Russian-Turkish agreement on Syria,
Battle of Lake Erie,1813.0,41°39′44″N,82°49′30″W,United States,United Kingdom
Battle of Tora Bora,2001.0,34°07′N,70°13′E,United States,Al-Qaeda
Battle of Alesia,-52.0,47°32′13″N,4°30′00″E,Roman Republic,Gallic
Battle of the Dalmatian Channels,1991.0,NaN,NaN,Croatia,Yugoslavia
Battle of Diu,1509.0,20°43′N,70°59′E,Portuguese Empire,Ottoman Empire
Battle of Hohenlinden,1800.0,48°09′35″N,11°59′53″E,France,Austria
Battle of Issus,-333.0,36°45′09″N,36°11′32″E,Macedon,Achaemenid Empire
Battle of Adwa,1896.0,14°1′8″N,38°58′24″E,Ethiopia,Italy
Battle of Doro Passage,1827.0,NaN,NaN,United States,Greek
Battle of Edington,878.0,NaN,NaN,Wessex,Danelaw
First Battle of the Masurian Lakes,1914.0,NaN,NaN,Germany,Russian Empire
Battle of Djerba,1560.0,NaN,NaN,Order of Saint John,Ottoman Empire
Battle of Naseby,1645.0,NaN,NaN,Parliamentarians,Royalists
Battle of Monastir,1912.0,41°01′58″N,21°20′25″E,Kingdom of Serbia,Ottoman Empire
Dragon Ball Z: Battle of Gods,,NaN,NaN,Hiromi Tsuru,Monica Rial
Battle of Rovine,1395.0,NaN,NaN,Wallachia,Ottoman Empire
Battle of Boyacá,1819.0,5°27′00″N,73°25′45″W,Venezuela,Royalists
Battle of Borovo Selo,1991.0,NaN,NaN,SAO Krajina,Croatia
Battle of Karanovasa,1394.0,NaN,NaN,Pakrac clash,Ottoman Empire
Battle of the Chesapeake,1781.0,36°58′3″N,75°32′21″W,France,Third rate
Battle of Roncevaux Pass,778.0,NaN,NaN,Franks,Basques
Second Battle of Tikrit,2015.0,NaN,NaN,Northern Iraq offensive (June 2014),Islamic State of Iraq and the Levant
Battle of Mons,1914.0,50°27′N,03°57′E,United Kingdom,German Empire
Battle of Schöngrabern,1805.0,48°36′51″N,16°01′11″E,France,Russia
Battle of St. Quentin (1557),1557.0,NaN,NaN,Kingdom of France,Spanish Empire
Battle of White Plains,1776.0,41°02′N,73°47′W,Hesse-Kassel,United States
Battle of the Washita River,1868.0,35°36′59.8″N,99°41′11.6″W,United States,Cheyenne
Battle of Tysami,1849.0,NaN,NaN,United Kingdom,Chui A-poo
Battle of Osijek,1992.0,NaN,NaN,Pakrac clash,Croatia
Second Battle of the Aisne,1917.0,49°24′N,3°36′E,France,Germany
Battle of Košare,1999.0,42°27′0.22″N,20°12′12.64″E,NATO,Yugoslav Army
Battle of Khirbet Al-Joz,2012.0,NaN,NaN,Russian-Turkish agreement on Syria,Free Syrian Army
Battle of the Pelennor Fields,3019.0,NaN,NaN,,
Battle of Guilford Court House,1781.0,NaN,NaN,Great Britain,United States
Battle of Demotika,1352.0,NaN,NaN,John V Palaiologos,John Kantakouzenos
